"term","best_mode_lh","best_mode_rh"
"arousal",32,17
"circadian_sleep_wakefulness",6,180
"attention",500,500
"goal",336,485
"selection",495,93
"suppression",120,110
"performance_monitoring",110,75
"response_selection",40,25
"memory",155,115
"declarative_memory",7,32
"language",75,500
"perception_auditory",76,30
"perception_multimodal",53,18
"perception_olfactory",6,5
"somatosensory_perception",454,240
"visual_perception",500,110
"working_memory_maintenance_working_memory_capacity",120,140
"working_memory_updating",108,99
"interference_control",487,433
"fear",10,5
"loss",5,478
"anxiety",39,25
"probabilistic_learning_reinforcement_learning",7,100
"prediction_error",6,116
"reward_anticipation",5,140
"reward_response",7,119
"reward_probability",5,125
"attachment",64,65
"action_perception",50,30
"animacy",30,7
"communication",20,23
"sensory_agency_sensory_ownership",455,479
"motor_pattern",70,69
"execution",135,75
"motor_inhibition",68,87
"motor_initiation",94,88
"motor_action",65,85
